"ISCED11";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG"
"ED5-8";"PC";"Y30-34";"T";"NL12";"A";"2011";39,7;NA
"ED5-8";"PC";"Y30-34";"T";"NL12";"A";"2010";34,5;"b"
"ED5-8";"PC";"Y30-34";"T";"NL12";"A";"2009";27,9;NA
"ED5-8";"PC";"Y30-34";"T";"NL12";"A";"2008";31,4;NA
"ED5-8";"PC";"Y30-34";"T";"NL12";"A";"2007";32,8;NA
"ED5-8";"PC";"Y30-34";"T";"NL12";"A";"2006";29,2;NA
"ED5-8";"PC";"Y30-34";"T";"NL12";"A";"2005";26;NA
"ED5-8";"PC";"Y30-34";"T";"NL12";"A";"2004";23,3;NA
"ED5-8";"PC";"Y30-34";"T";"NL12";"A";"2003";26,3;NA
"ED5-8";"PC";"Y30-34";"T";"NL12";"A";"2002";21,5;NA
"ED5-8";"PC";"Y30-34";"T";"NL12";"A";"2001";22,3;NA
"ED5-8";"PC";"Y30-34";"T";"NL12";"A";"2000";21,4;NA
"ED5-8";"PC";"Y30-34";"T";"NL13";"A";"2014";37,2;"b"
"ED5-8";"PC";"Y30-34";"T";"NL13";"A";"2013";28,3;"b"
"ED5-8";"PC";"Y30-34";"T";"NL13";"A";"2012";28,2;NA
"ED5-8";"PC";"Y30-34";"T";"NL13";"A";"2011";26,3;NA
"ED5-8";"PC";"Y30-34";"T";"NL13";"A";"2010";30,1;"b"
"ED5-8";"PC";"Y30-34";"T";"NL13";"A";"2009";27,8;NA
"ED5-8";"PC";"Y30-34";"T";"NL13";"A";"2008";28,2;NA
"ED5-8";"PC";"Y30-34";"T";"NL13";"A";"2007";28,4;NA
"ED5-8";"PC";"Y30-34";"T";"NL13";"A";"2006";26,5;NA
"ED5-8";"PC";"Y30-34";"T";"NL13";"A";"2005";28,4;NA
"ED5-8";"PC";"Y30-34";"T";"NL13";"A";"2004";23,1;NA
"ED5-8";"PC";"Y30-34";"T";"NL13";"A";"2003";22;NA
"ED5-8";"PC";"Y30-34";"T";"NL13";"A";"2002";15,6;NA
"ED5-8";"PC";"Y30-34";"T";"NL13";"A";"2001";14,2;NA
"ED5-8";"PC";"Y30-34";"T";"NL13";"A";"2000";15,9;"u"
"ED5-8";"PC";"Y30-34";"T";"NL34";"A";"2014";28,6;"b"
"ED5-8";"PC";"Y30-34";"T";"NL34";"A";"2013";29,7;"b"
"ED5-8";"PC";"Y30-34";"T";"NL34";"A";"2012";20,5;NA
"ED5-8";"PC";"Y30-34";"T";"NL34";"A";"2011";24,9;NA
"ED5-8";"PC";"Y30-34";"T";"NL34";"A";"2010";34,8;"b"
"ED5-8";"PC";"Y30-34";"T";"NL34";"A";"2009";32,4;NA
"ED5-8";"PC";"Y30-34";"T";"NL34";"A";"2008";24,7;NA
"ED5-8";"PC";"Y30-34";"T";"NL34";"A";"2007";18,9;NA
"ED5-8";"PC";"Y30-34";"T";"NL34";"A";"2006";22,9;NA
"ED5-8";"PC";"Y30-34";"T";"NL34";"A";"2005";21,2;NA
"ED5-8";"PC";"Y30-34";"T";"NL34";"A";"2004";23;NA
"ED5-8";"PC";"Y30-34";"T";"NL34";"A";"2003";21,4;NA
"ED5-8";"PC";"Y30-34";"T";"NL34";"A";"2002";20,9;NA
"ED5-8";"PC";"Y30-34";"T";"NL34";"A";"2001";19,7;NA
"ED5-8";"PC";"Y30-34";"T";"NL34";"A";"2000";16;"u"
"ED5-8";"PC";"Y30-34";"T";"UKC1";"A";"2014";34,5;"b"
"ED5-8";"PC";"Y30-34";"T";"UKC1";"A";"2013";28,3;NA
"ED5-8";"PC";"Y30-34";"T";"UKC1";"A";"2012";36,1;NA
"ED5-8";"PC";"Y30-34";"T";"UKC1";"A";"2011";34,8;"b"
"ED5-8";"PC";"Y30-34";"T";"UKC1";"A";"2010";34;"b"
"ED5-8";"PC";"Y30-34";"T";"UKC1";"A";"2009";34,7;NA
"ED5-8";"PC";"Y30-34";"T";"UKC1";"A";"2008";31,8;"b"
"ED5-8";"PC";"Y30-34";"T";"UKC1";"A";"2007";32,4;"b"
"ED5-8";"PC";"Y30-34";"T";"UKC1";"A";"2006";31;NA
"ED5-8";"PC";"Y30-34";"T";"UKC1";"A";"2005";29,2;NA
"ED5-8";"PC";"Y30-34";"T";"UKC1";"A";"2004";25,9;"b"
"ED5-8";"PC";"Y30-34";"T";"UKC1";"A";"2003";25,4;NA
"ED5-8";"PC";"Y30-34";"T";"UKC1";"A";"2002";21,5;NA
"ED5-8";"PC";"Y30-34";"T";"UKC1";"A";"2001";23;NA
"ED5-8";"PC";"Y30-34";"T";"UKC1";"A";"2000";22;NA
"ED5-8";"PC";"Y30-34";"T";"UKE2";"A";"2014";42,7;"b"
"ED5-8";"PC";"Y30-34";"T";"UKE2";"A";"2013";52,6;NA
"ED5-8";"PC";"Y30-34";"T";"UKE2";"A";"2012";54,6;NA
"ED5-8";"PC";"Y30-34";"T";"UKE2";"A";"2011";42,8;"b"
"ED5-8";"PC";"Y30-34";"T";"UKE2";"A";"2010";38;"b"
"ED5-8";"PC";"Y30-34";"T";"UKE2";"A";"2009";46,9;NA
"ED5-8";"PC";"Y30-34";"T";"UKE2";"A";"2008";48,3;"b"
"ED5-8";"PC";"Y30-34";"T";"UKE2";"A";"2007";37,5;"b"
"ED5-8";"PC";"Y30-34";"T";"UKE2";"A";"2006";37,5;NA
"ED5-8";"PC";"Y30-34";"T";"UKE2";"A";"2005";38,4;NA
"ED5-8";"PC";"Y30-34";"T";"UKE2";"A";"2004";31,6;"b"
"ED5-8";"PC";"Y30-34";"T";"UKE2";"A";"2003";28,9;NA
"ED5-8";"PC";"Y30-34";"T";"UKE2";"A";"2002";23,2;NA
"ED5-8";"PC";"Y30-34";"T";"UKE2";"A";"2001";26,8;NA
"ED5-8";"PC";"Y30-34";"T";"UKE2";"A";"2000";33,2;NA
