"INDIC_ED";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"R05_2";"ITH2";"A";"1998";NA;"na";NA
"R05_2";"ITH3";"A";"2012";48;NA;NA
"R05_2";"ITH3";"A";"2011";47,4;NA;NA
"R05_2";"ITH3";"A";"2010";49,3;NA;NA
"R05_2";"ITH3";"A";"2009";49;NA;NA
"R05_2";"ITH3";"A";"2008";49,2;NA;NA
"R05_2";"ITH3";"A";"2007";49,4;NA;NA
"R05_2";"ITH3";"A";"2006";NA;"na";"u"
"R05_2";"ITH3";"A";"2005";44,7;NA;NA
"R05_2";"ITH3";"A";"2004";43,9;NA;NA
"R05_2";"ITH3";"A";"2003";43,1;NA;NA
"R05_2";"ITH3";"A";"2002";41;NA;NA
"R05_2";"ITH3";"A";"2001";39,5;NA;NA
"R05_2";"ITH3";"A";"2000";36,7;NA;NA
"R05_2";"ITH3";"A";"1999";36;NA;NA
"R05_2";"ITH3";"A";"1998";35,2;NA;NA
