"UNIT";"LANDUSE";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"KM2";"TOTAL";"NL12";"A";"2000";5740,9;NA;NA
"KM2";"TOTAL";"NL12";"A";"1999";5740,7;NA;NA
"KM2";"TOTAL";"NL12";"A";"1998";5740,8;NA;NA
"KM2";"TOTAL";"NL12";"A";"1997";5740,7;NA;NA
"KM2";"TOTAL";"NL12";"A";"1996";5740,7;NA;NA
"KM2";"TOTAL";"NL12";"A";"1995";5740,8;NA;NA
"KM2";"TOTAL";"NL12";"A";"1994";5740,7;NA;NA
"KM2";"TOTAL";"NL12";"A";"1993";5740,7;NA;NA
"KM2";"TOTAL";"NL12";"A";"1992";5740,2;NA;NA
"KM2";"TOTAL";"NL12";"A";"1991";5739,3;NA;NA
"KM2";"TOTAL";"NL12";"A";"1990";5739,3;NA;NA
"KM2";"TOTAL";"NL13";"A";"2014";2680;NA;NA
"KM2";"TOTAL";"NL13";"A";"2013";2680,4;NA;NA
"KM2";"TOTAL";"NL13";"A";"2012";2680,4;NA;NA
"KM2";"TOTAL";"NL13";"A";"2011";2680,4;NA;NA
"KM2";"TOTAL";"NL13";"A";"2010";2680,4;NA;NA
"KM2";"TOTAL";"NL13";"A";"2009";2680,4;NA;NA
"KM2";"TOTAL";"NL13";"A";"2008";2680,4;NA;NA
"KM2";"TOTAL";"NL13";"A";"2007";2680,4;NA;NA
"KM2";"TOTAL";"NL13";"A";"2006";2680,4;NA;NA
"KM2";"TOTAL";"NL13";"A";"2005";2680;NA;NA
"KM2";"TOTAL";"NL13";"A";"2004";2680,4;NA;NA
"KM2";"TOTAL";"NL13";"A";"2003";2680,4;NA;NA
"KM2";"TOTAL";"NL13";"A";"2002";2680,4;NA;NA
"KM2";"TOTAL";"NL13";"A";"2001";2680,4;NA;NA
"KM2";"TOTAL";"NL13";"A";"2000";2680,4;NA;NA
"KM2";"TOTAL";"NL13";"A";"1999";2680,3;NA;NA
"KM2";"TOTAL";"NL13";"A";"1998";2680,4;NA;NA
"KM2";"TOTAL";"NL13";"A";"1997";2681,3;NA;NA
"KM2";"TOTAL";"NL13";"A";"1996";2680,5;NA;NA
"KM2";"TOTAL";"NL13";"A";"1995";2680,5;NA;NA
"KM2";"TOTAL";"NL13";"A";"1994";2680,5;NA;NA
"KM2";"TOTAL";"NL13";"A";"1993";2680,5;NA;NA
"KM2";"TOTAL";"NL13";"A";"1992";2680,5;NA;NA
"KM2";"TOTAL";"NL13";"A";"1991";2680,5;NA;NA
"KM2";"TOTAL";"NL13";"A";"1990";2680,5;NA;NA
"KM2";"TOTAL";"NL34";"A";"2014";2933;NA;NA
"KM2";"TOTAL";"NL34";"A";"2013";2933,5;NA;NA
"KM2";"TOTAL";"NL34";"A";"2012";2933,5;NA;NA
"KM2";"TOTAL";"NL34";"A";"2011";2933,9;NA;NA
"KM2";"TOTAL";"NL34";"A";"2010";2933,9;NA;NA
"KM2";"TOTAL";"NL34";"A";"2009";2933,9;NA;NA
"KM2";"TOTAL";"NL34";"A";"2008";2933,9;NA;NA
"KM2";"TOTAL";"NL34";"A";"2007";2933,9;NA;NA
"KM2";"TOTAL";"NL34";"A";"2006";2933,9;NA;NA
"KM2";"TOTAL";"NL34";"A";"2005";2934;NA;NA
"KM2";"TOTAL";"NL34";"A";"2004";2933,9;NA;NA
"KM2";"TOTAL";"NL34";"A";"2003";2933,9;NA;NA
"KM2";"TOTAL";"NL34";"A";"2002";2933,9;NA;NA
"KM2";"TOTAL";"NL34";"A";"2001";2933,9;NA;NA
"KM2";"TOTAL";"NL34";"A";"2000";2934;NA;NA
"KM2";"TOTAL";"NL34";"A";"1999";2931,9;NA;NA
"KM2";"TOTAL";"NL34";"A";"1998";2931,9;NA;NA
"KM2";"TOTAL";"NL34";"A";"1997";2931,9;NA;NA
"KM2";"TOTAL";"NL34";"A";"1996";2931,9;NA;NA
"KM2";"TOTAL";"NL34";"A";"1995";2931,9;NA;NA
"KM2";"TOTAL";"NL34";"A";"1994";2931,9;NA;NA
"KM2";"TOTAL";"NL34";"A";"1993";2931,9;NA;NA
"KM2";"TOTAL";"NL34";"A";"1992";2931,9;NA;NA
"KM2";"TOTAL";"NL34";"A";"1991";2947,1;NA;NA
"KM2";"TOTAL";"NL34";"A";"1990";3039,4;NA;NA
"KM2";"TOTAL";"UKC1";"A";"2014";NA;"na";NA
"KM2";"TOTAL";"UKC1";"A";"2013";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"2012";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"2011";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"2010";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"2009";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"2008";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"2007";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"2006";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"2005";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"2004";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"2003";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"2002";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"2001";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"2000";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"1999";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"1998";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"1997";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"1996";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"1995";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"1994";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"1993";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"1992";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"1991";3046,8;NA;NA
"KM2";"TOTAL";"UKC1";"A";"1990";3046,8;NA;NA
"KM2";"TOTAL";"UKE2";"A";"2014";NA;"na";NA
"KM2";"TOTAL";"UKE2";"A";"2013";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"2012";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"2011";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"2010";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"2009";8325,2;NA;NA
