"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"NL13";"A";"1999";5800;NA;NA
"NL13";"A";"1998";5600;NA;NA
"NL13";"A";"1997";5421;NA;NA
"NL13";"A";"1996";5349;NA;NA
"NL13";"A";"1995";5305;NA;NA
"NL13";"A";"1994";5300;NA;NA
"NL13";"A";"1993";5400;NA;NA
"NL13";"A";"1992";5300;NA;NA
"NL13";"A";"1991";5400;NA;NA
"NL13";"A";"1990";5400;NA;NA
"NL34";"A";"2013";3513;NA;NA
"NL34";"A";"2012";3635;NA;NA
"NL34";"A";"2011";3762;NA;NA
"NL34";"A";"2010";3697;NA;NA
"NL34";"A";"2009";3728;NA;NA
"NL34";"A";"2008";3907;NA;NA
"NL34";"A";"2007";3751;NA;NA
"NL34";"A";"2006";3817;NA;NA
"NL34";"A";"2005";3913;NA;NA
"NL34";"A";"2004";4088;NA;NA
"NL34";"A";"2003";4199;NA;NA
"NL34";"A";"2002";4200;NA;NA
"NL34";"A";"2001";4300;NA;NA
"NL34";"A";"2000";4500;NA;NA
"NL34";"A";"1999";4300;NA;NA
"NL34";"A";"1998";4400;NA;NA
"NL34";"A";"1997";4365;NA;NA
"NL34";"A";"1996";4396;NA;NA
"NL34";"A";"1995";4353;NA;NA
"NL34";"A";"1994";4500;NA;NA
"NL34";"A";"1993";4400;NA;NA
"NL34";"A";"1992";4600;NA;NA
"NL34";"A";"1991";4500;NA;NA
"NL34";"A";"1990";4500;NA;NA
"UKC1";"A";"2013";13556;NA;"e"
"UKC1";"A";"2012";14325;NA;NA
"UKC1";"A";"2011";14455;NA;NA
"UKC1";"A";"2010";14538;NA;NA
"UKC1";"A";"2009";13895;NA;NA
"UKC1";"A";"2008";14113;NA;NA
"UKC1";"A";"2007";13847;NA;NA
"UKC1";"A";"2006";13663;NA;NA
"UKC1";"A";"2005";13257;NA;NA
"UKC1";"A";"2004";13146;NA;NA
"UKC1";"A";"2003";12520;NA;NA
"UKC1";"A";"2002";12117;NA;NA
"UKC1";"A";"2001";11917;NA;NA
"UKC1";"A";"2000";12212;NA;NA
"UKC1";"A";"1999";12900;NA;NA
"UKC1";"A";"1998";13300;NA;NA
"UKC1";"A";"1997";13512;NA;NA
"UKC1";"A";"1996";13888;NA;NA
"UKC1";"A";"1995";14063;NA;NA
"UKC1";"A";"1994";14500;NA;NA
"UKC1";"A";"1993";15200;NA;NA
"UKC1";"A";"1992";15700;NA;NA
"UKC1";"A";"1991";16100;NA;NA
"UKC1";"A";"1990";16000;NA;NA
"UKE2";"A";"2013";7566;NA;"e"
"UKE2";"A";"2012";8016;NA;NA
"UKE2";"A";"2011";8118;NA;NA
"UKE2";"A";"2010";7967;NA;NA
"UKE2";"A";"2009";8093;NA;NA
"UKE2";"A";"2008";8289;NA;NA
"UKE2";"A";"2007";7793;NA;NA
"UKE2";"A";"2006";7755;NA;NA
"UKE2";"A";"2005";7629;NA;NA
"UKE2";"A";"2004";7656;NA;NA
"UKE2";"A";"2003";7474;NA;NA
"UKE2";"A";"2002";7189;NA;NA
"UKE2";"A";"2001";7261;NA;NA
"UKE2";"A";"2000";7420;NA;NA
