"CURRENCY";"NACE_R2";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"MIO_EUR";"TOTAL";"NL13";"A";"2008";NA;"na"
"MIO_EUR";"TOTAL";"NL13";"A";"2007";NA;"na"
"MIO_EUR";"TOTAL";"NL13";"A";"2006";NA;"na"
"MIO_EUR";"TOTAL";"NL13";"A";"2005";NA;"na"
"MIO_EUR";"TOTAL";"NL13";"A";"2004";NA;"na"
"MIO_EUR";"TOTAL";"NL13";"A";"2003";NA;"na"
"MIO_EUR";"TOTAL";"NL13";"A";"2002";NA;"na"
"MIO_EUR";"TOTAL";"NL13";"A";"2001";NA;"na"
"MIO_EUR";"TOTAL";"NL13";"A";"2000";NA;"na"
"MIO_EUR";"TOTAL";"NL34";"A";"2013";NA;"na"
"MIO_EUR";"TOTAL";"NL34";"A";"2012";5685;NA
"MIO_EUR";"TOTAL";"NL34";"A";"2011";5610;NA
"MIO_EUR";"TOTAL";"NL34";"A";"2010";5432;NA
"MIO_EUR";"TOTAL";"NL34";"A";"2009";NA;"na"
"MIO_EUR";"TOTAL";"NL34";"A";"2008";NA;"na"
"MIO_EUR";"TOTAL";"NL34";"A";"2007";NA;"na"
"MIO_EUR";"TOTAL";"NL34";"A";"2006";NA;"na"
"MIO_EUR";"TOTAL";"NL34";"A";"2005";NA;"na"
"MIO_EUR";"TOTAL";"NL34";"A";"2004";NA;"na"
"MIO_EUR";"TOTAL";"NL34";"A";"2003";NA;"na"
"MIO_EUR";"TOTAL";"NL34";"A";"2002";NA;"na"
"MIO_EUR";"TOTAL";"NL34";"A";"2001";NA;"na"
"MIO_EUR";"TOTAL";"NL34";"A";"2000";NA;"na"
"MIO_EUR";"TOTAL";"UKC1";"A";"2013";13789,65;NA
"MIO_EUR";"TOTAL";"UKC1";"A";"2012";13845,62;NA
"MIO_EUR";"TOTAL";"UKC1";"A";"2011";13040,97;NA
"MIO_EUR";"TOTAL";"UKC1";"A";"2010";13331,16;NA
"MIO_EUR";"TOTAL";"UKC1";"A";"2009";12293,76;NA
"MIO_EUR";"TOTAL";"UKC1";"A";"2008";13725,07;NA
"MIO_EUR";"TOTAL";"UKC1";"A";"2007";15553,67;NA
"MIO_EUR";"TOTAL";"UKC1";"A";"2006";14961,94;NA
"MIO_EUR";"TOTAL";"UKC1";"A";"2005";13909,04;NA
"MIO_EUR";"TOTAL";"UKC1";"A";"2004";13635,69;NA
"MIO_EUR";"TOTAL";"UKC1";"A";"2003";12352,78;NA
"MIO_EUR";"TOTAL";"UKC1";"A";"2002";12995,56;NA
"MIO_EUR";"TOTAL";"UKC1";"A";"2001";12706,84;NA
"MIO_EUR";"TOTAL";"UKC1";"A";"2000";12307,21;NA
"MIO_EUR";"TOTAL";"UKE2";"A";"2013";10998,99;NA
"MIO_EUR";"TOTAL";"UKE2";"A";"2012";11141,12;NA
"MIO_EUR";"TOTAL";"UKE2";"A";"2011";10449,6;NA
"MIO_EUR";"TOTAL";"UKE2";"A";"2010";10478,64;NA
"MIO_EUR";"TOTAL";"UKE2";"A";"2009";9894,04;NA
"MIO_EUR";"TOTAL";"UKE2";"A";"2008";11014,97;NA
"MIO_EUR";"TOTAL";"UKE2";"A";"2007";12853,26;NA
"MIO_EUR";"TOTAL";"UKE2";"A";"2006";11800,86;NA
"MIO_EUR";"TOTAL";"UKE2";"A";"2005";11055,86;NA
"MIO_EUR";"TOTAL";"UKE2";"A";"2004";11116,02;NA
"MIO_EUR";"TOTAL";"UKE2";"A";"2003";10267,49;NA
"MIO_EUR";"TOTAL";"UKE2";"A";"2002";10363,69;NA
"MIO_EUR";"TOTAL";"UKE2";"A";"2001";9624,2;NA
"MIO_EUR";"TOTAL";"UKE2";"A";"2000";9102,84;NA
