"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"ITC4";"A";"2013";414,2;NA;NA
"ITC4";"A";"2012";427,5;NA;NA
"ITC4";"A";"2011";424,7;NA;NA
"ITC4";"A";"2010";422,5;NA;NA
"ITC4";"A";"2009";419,9;NA;NA
"ITC4";"A";"2008";417;NA;NA
"ITC4";"A";"2007";413,7;NA;NA
"ITC4";"A";"2006";410,9;NA;NA
"ITC4";"A";"2005";408,3;NA;NA
"ITC4";"A";"2004";404,3;NA;NA
"ITC4";"A";"2003";399,8;NA;NA
"ITC4";"A";"2002";397,1;NA;NA
"ITC4";"A";"2001";395,6;NA;NA
"ITC4";"A";"2000";394,2;NA;NA
"ITC4";"A";"1999";392,9;NA;NA
"ITC4";"A";"1998";391,9;NA;NA
"ITC4";"A";"1997";390,9;NA;NA
"ITC4";"A";"1996";390;NA;NA
"ITC4";"A";"1995";389,4;NA;NA
"ITC4";"A";"1994";389,1;NA;NA
"ITC4";"A";"1993";389,3;NA;NA
"ITC4";"A";"1992";389;NA;NA
"ITC4";"A";"1991";371,1;NA;NA
"ITC4";"A";"1990";370,7;NA;NA
"ITH";"A";"2014";187;NA;NA
"ITH";"A";"2013";185,9;NA;NA
"ITH";"A";"2012";184,3;NA;NA
"ITH";"A";"2011";183,5;NA;NA
"ITH";"A";"2010";183,1;NA;NA
"ITH";"A";"2009";182,3;NA;NA
"ITH";"A";"2008";181;NA;NA
"ITH";"A";"2007";179,1;NA;NA
"ITH";"A";"2006";NA;"na";NA
"ITH";"A";"2005";NA;"na";NA
"ITH";"A";"2004";NA;"na";NA
"ITH";"A";"2003";NA;"na";NA
"ITH";"A";"2002";NA;"na";NA
"ITH";"A";"2001";NA;"na";NA
"ITH";"A";"2000";NA;"na";NA
"ITH";"A";"1999";NA;"na";NA
"ITH";"A";"1998";NA;"na";NA
"ITH";"A";"1997";NA;"na";NA
"ITH";"A";"1996";NA;"na";NA
"ITH";"A";"1995";NA;"na";NA
"ITH";"A";"1994";NA;"na";NA
"ITH";"A";"1993";NA;"na";NA
"ITH";"A";"1992";NA;"na";NA
"ITH";"A";"1991";NA;"na";NA
"ITH";"A";"1990";NA;"na";NA
"ITH1";"A";"2014";69,9;NA;NA
"ITH1";"A";"2013";69,3;NA;NA
"ITH1";"A";"2012";68,8;NA;NA
"ITH1";"A";"2011";68,3;NA;NA
"ITH1";"A";"2010";67,9;NA;NA
"ITH1";"A";"2009";67,4;NA;NA
"ITH1";"A";"2008";66,8;NA;NA
"ITH1";"A";"2007";66,1;NA;NA
"ITH1";"A";"2006";65,4;NA;NA
"ITH1";"A";"2005";64,7;NA;NA
"ITH1";"A";"2004";64,1;NA;NA
"ITH1";"A";"2003";63,6;NA;NA
"ITH1";"A";"2002";63,1;NA;NA
"ITH1";"A";"2001";62,7;NA;NA
"ITH1";"A";"2000";62,4;NA;NA
"ITH1";"A";"1999";62;NA;NA
"ITH1";"A";"1998";61,7;NA;NA
"ITH1";"A";"1997";61,3;NA;NA
"ITH1";"A";"1996";61;NA;NA
"ITH1";"A";"1995";60,7;NA;NA
"ITH1";"A";"1994";60,4;NA;NA
"ITH1";"A";"1993";60,2;NA;NA
"ITH1";"A";"1992";59,9;NA;NA
"ITH1";"A";"1991";59,4;NA;NA
"ITH1";"A";"1990";59,2;NA;NA
"ITH2";"A";"2014";86,5;NA;NA
"ITH2";"A";"2013";85,9;NA;NA
"ITH2";"A";"2012";85,9;NA;NA
"ITH2";"A";"2011";85,3;NA;NA
"ITH2";"A";"2010";84,8;NA;NA
"ITH2";"A";"2009";84,2;NA;NA
"ITH2";"A";"2008";83,4;NA;NA
"ITH2";"A";"2007";82,4;NA;NA
"ITH2";"A";"2006";81,6;NA;NA
"ITH2";"A";"2005";80,8;NA;NA
"ITH2";"A";"2004";79,9;NA;NA
"ITH2";"A";"2003";78,9;NA;NA
"ITH2";"A";"2002";78;NA;NA
"ITH2";"A";"2001";77,5;NA;NA
"ITH2";"A";"2000";76,9;NA;NA
"ITH2";"A";"1999";76,3;NA;NA
"ITH2";"A";"1998";75,8;NA;NA
"ITH2";"A";"1997";75,3;NA;NA
"ITH2";"A";"1996";74,8;NA;NA
"ITH2";"A";"1995";74,4;NA;NA
"ITH2";"A";"1994";74,1;NA;NA
"ITH2";"A";"1993";73,7;NA;NA
"ITH2";"A";"1992";73,4;NA;NA
"ITH2";"A";"1991";72,3;NA;NA
"ITH2";"A";"1990";71,9;NA;NA
"ITH3";"A";"2014";267,7;NA;NA
"ITH3";"A";"2013";266,4;NA;NA
"ITH3";"A";"2012";277;NA;NA
"ITH3";"A";"2011";276,2;NA;NA
