"INDIC_DE";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"NATGROWRT";"NL34";"A";"2003";1,4;NA;NA
"NATGROWRT";"NL34";"A";"2002";0,8;NA;NA
"NATGROWRT";"NL34";"A";"2001";1,3;NA;NA
"NATGROWRT";"NL34";"A";"2000";2,1;NA;NA
"NATGROWRT";"UKC1";"A";"2014";NA;"na";NA
"NATGROWRT";"UKC1";"A";"2013";1,4;NA;"e"
"NATGROWRT";"UKC1";"A";"2012";2,2;NA;NA
"NATGROWRT";"UKC1";"A";"2011";2,5;NA;NA
"NATGROWRT";"UKC1";"A";"2010";2,7;NA;NA
"NATGROWRT";"UKC1";"A";"2009";1,8;NA;NA
"NATGROWRT";"UKC1";"A";"2008";1,7;NA;NA
"NATGROWRT";"UKC1";"A";"2007";1,7;NA;NA
"NATGROWRT";"UKC1";"A";"2006";1,4;NA;NA
"NATGROWRT";"UKC1";"A";"2005";0,8;NA;NA
"NATGROWRT";"UKC1";"A";"2004";0,7;NA;NA
"NATGROWRT";"UKC1";"A";"2003";-0,1;NA;NA
"NATGROWRT";"UKC1";"A";"2002";-0,3;NA;NA
"NATGROWRT";"UKC1";"A";"2001";-0,5;NA;NA
"NATGROWRT";"UKC1";"A";"2000";-0,1;NA;NA
"NATGROWRT";"UKE2";"A";"2014";NA;"na";NA
"NATGROWRT";"UKE2";"A";"2013";-0,6;NA;"e"
"NATGROWRT";"UKE2";"A";"2012";0;NA;NA
"NATGROWRT";"UKE2";"A";"2011";0,3;NA;NA
"NATGROWRT";"UKE2";"A";"2010";0,2;NA;NA
"NATGROWRT";"UKE2";"A";"2009";0,6;NA;NA
"NATGROWRT";"UKE2";"A";"2008";0,6;NA;NA
"NATGROWRT";"UKE2";"A";"2007";-0,1;NA;NA
"NATGROWRT";"UKE2";"A";"2006";-0,1;NA;NA
"NATGROWRT";"UKE2";"A";"2005";0;NA;NA
"NATGROWRT";"UKE2";"A";"2004";-0,3;NA;NA
"NATGROWRT";"UKE2";"A";"2003";-0,9;NA;NA
"NATGROWRT";"UKE2";"A";"2002";-1,1;NA;NA
"NATGROWRT";"UKE2";"A";"2001";-0,9;NA;NA
"NATGROWRT";"UKE2";"A";"2000";-1;NA;NA
