"UNIT";"WORKTIME";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"THS";"PT";"T";"UKC1";"A";"2011";129,5;NA;NA
"THS";"PT";"T";"UKC1";"A";"2010";135,1;NA;NA
"THS";"PT";"T";"UKC1";"A";"2009";127,9;NA;NA
"THS";"PT";"T";"UKC1";"A";"2008";128,3;"b";NA
"THS";"PT";"T";"UKC1";"A";"2007";133,9;"b";NA
"THS";"PT";"T";"UKC1";"A";"2006";127;NA;NA
"THS";"PT";"T";"UKC1";"A";"2005";124,4;"b";NA
"THS";"PT";"T";"UKC1";"A";"2004";129,8;"b";NA
"THS";"PT";"T";"UKC1";"A";"2003";116,7;NA;NA
"THS";"PT";"T";"UKC1";"A";"2002";125,5;NA;NA
"THS";"PT";"T";"UKC1";"A";"2001";122,2;NA;NA
"THS";"PT";"T";"UKC1";"A";"2000";128,2;NA;NA
"THS";"PT";"T";"UKC1";"A";"1999";122,9;"b";NA
"THS";"PT";"T";"UKE2";"A";"2014";109;NA;NA
"THS";"PT";"T";"UKE2";"A";"2013";121,9;NA;NA
"THS";"PT";"T";"UKE2";"A";"2012";120,9;NA;NA
"THS";"PT";"T";"UKE2";"A";"2011";125,1;NA;NA
"THS";"PT";"T";"UKE2";"A";"2010";116,8;NA;NA
"THS";"PT";"T";"UKE2";"A";"2009";113;NA;NA
"THS";"PT";"T";"UKE2";"A";"2008";116,8;"b";NA
"THS";"PT";"T";"UKE2";"A";"2007";110;"b";NA
"THS";"PT";"T";"UKE2";"A";"2006";112,8;NA;NA
"THS";"PT";"T";"UKE2";"A";"2005";115,9;"b";NA
"THS";"PT";"T";"UKE2";"A";"2004";110,5;"b";NA
"THS";"PT";"T";"UKE2";"A";"2003";105,9;NA;NA
"THS";"PT";"T";"UKE2";"A";"2002";101,3;NA;NA
"THS";"PT";"T";"UKE2";"A";"2001";107,7;NA;NA
"THS";"PT";"T";"UKE2";"A";"2000";92,3;NA;NA
"THS";"PT";"T";"UKE2";"A";"1999";91,1;"b";NA
