"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"PC";"Y_GE15";"T";"NL13";"A";"2011";5,3;"b";NA
"PC";"Y_GE15";"T";"NL13";"A";"2010";4,5;"b";NA
"PC";"Y_GE15";"T";"NL13";"A";"2009";4,2;NA;NA
"PC";"Y_GE15";"T";"NL13";"A";"2008";3,6;NA;NA
"PC";"Y_GE15";"T";"NL13";"A";"2007";3,7;NA;NA
"PC";"Y_GE15";"T";"NL13";"A";"2006";4,6;NA;NA
"PC";"Y_GE15";"T";"NL13";"A";"2005";5,7;"b";NA
"PC";"Y_GE15";"T";"NL13";"A";"2004";5,5;NA;NA
"PC";"Y_GE15";"T";"NL13";"A";"2003";3,2;NA;NA
"PC";"Y_GE15";"T";"NL13";"A";"2002";2,8;NA;NA
"PC";"Y_GE15";"T";"NL13";"A";"2001";3;NA;NA
"PC";"Y_GE15";"T";"NL13";"A";"2000";3,5;NA;NA
"PC";"Y_GE15";"T";"NL13";"A";"1999";8,4;NA;NA
"PC";"Y_GE15";"T";"NL34";"A";"2014";5,4;NA;NA
"PC";"Y_GE15";"T";"NL34";"A";"2013";5;NA;NA
"PC";"Y_GE15";"T";"NL34";"A";"2012";3,5;NA;NA
"PC";"Y_GE15";"T";"NL34";"A";"2011";3,2;"b";NA
"PC";"Y_GE15";"T";"NL34";"A";"2010";2,7;"b";NA
"PC";"Y_GE15";"T";"NL34";"A";"2009";2,1;NA;NA
"PC";"Y_GE15";"T";"NL34";"A";"2008";2,8;NA;NA
"PC";"Y_GE15";"T";"NL34";"A";"2007";2,1;NA;NA
"PC";"Y_GE15";"T";"NL34";"A";"2006";2,7;NA;NA
"PC";"Y_GE15";"T";"NL34";"A";"2005";3,3;"b";NA
"PC";"Y_GE15";"T";"NL34";"A";"2004";3,3;NA;NA
"PC";"Y_GE15";"T";"NL34";"A";"2003";1,9;"u";NA
"PC";"Y_GE15";"T";"NL34";"A";"2002";2,3;"u";NA
"PC";"Y_GE15";"T";"NL34";"A";"2001";2,5;"u";NA
"PC";"Y_GE15";"T";"NL34";"A";"2000";3,4;"u";NA
"PC";"Y_GE15";"T";"NL34";"A";"1999";6;NA;NA
"PC";"Y_GE15";"T";"UKC1";"A";"2014";9,7;NA;NA
"PC";"Y_GE15";"T";"UKC1";"A";"2013";10,9;NA;NA
"PC";"Y_GE15";"T";"UKC1";"A";"2012";11,5;NA;NA
"PC";"Y_GE15";"T";"UKC1";"A";"2011";11,8;NA;NA
"PC";"Y_GE15";"T";"UKC1";"A";"2010";9,1;NA;NA
"PC";"Y_GE15";"T";"UKC1";"A";"2009";8,3;NA;NA
"PC";"Y_GE15";"T";"UKC1";"A";"2008";7,8;"b";NA
"PC";"Y_GE15";"T";"UKC1";"A";"2007";6;"b";NA
"PC";"Y_GE15";"T";"UKC1";"A";"2006";5,8;NA;NA
"PC";"Y_GE15";"T";"UKC1";"A";"2005";5,9;"b";NA
"PC";"Y_GE15";"T";"UKC1";"A";"2004";5,3;"b";NA
"PC";"Y_GE15";"T";"UKC1";"A";"2003";7,6;NA;NA
"PC";"Y_GE15";"T";"UKC1";"A";"2002";6,5;NA;NA
"PC";"Y_GE15";"T";"UKC1";"A";"2001";7,4;NA;NA
"PC";"Y_GE15";"T";"UKC1";"A";"2000";9;NA;NA
"PC";"Y_GE15";"T";"UKC1";"A";"1999";10,4;"b";NA
"PC";"Y_GE15";"T";"UKE2";"A";"2014";4,5;NA;NA
"PC";"Y_GE15";"T";"UKE2";"A";"2013";4,3;NA;NA
"PC";"Y_GE15";"T";"UKE2";"A";"2012";5;NA;NA
"PC";"Y_GE15";"T";"UKE2";"A";"2011";6,5;NA;NA
"PC";"Y_GE15";"T";"UKE2";"A";"2010";6,7;NA;NA
"PC";"Y_GE15";"T";"UKE2";"A";"2009";5,4;NA;NA
"PC";"Y_GE15";"T";"UKE2";"A";"2008";2,8;"b";NA
"PC";"Y_GE15";"T";"UKE2";"A";"2007";3,4;"b";NA
"PC";"Y_GE15";"T";"UKE2";"A";"2006";4;NA;NA
"PC";"Y_GE15";"T";"UKE2";"A";"2005";2,9;"b";NA
"PC";"Y_GE15";"T";"UKE2";"A";"2004";2,7;"bu";NA
"PC";"Y_GE15";"T";"UKE2";"A";"2003";2,6;"u";NA
"PC";"Y_GE15";"T";"UKE2";"A";"2002";4;"u";NA
"PC";"Y_GE15";"T";"UKE2";"A";"2001";NA;"u";"na"
"PC";"Y_GE15";"T";"UKE2";"A";"2000";4,9;NA;NA
"PC";"Y_GE15";"T";"UKE2";"A";"1999";3,8;"bu";NA
