"ICD10";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"C00-D48";"RT";"TOTAL";"T";"NL13";"A";"1998";263,4;NA
"C00-D48";"RT";"TOTAL";"T";"NL13";"A";"1997";271;NA
"C00-D48";"RT";"TOTAL";"T";"NL13";"A";"1996";266,4;NA
"C00-D48";"RT";"TOTAL";"T";"NL13";"A";"1995";276,9;NA
"C00-D48";"RT";"TOTAL";"T";"NL13";"A";"1994";259,3;NA
"C00-D48";"RT";"TOTAL";"T";"NL34";"A";"2010";297;NA
"C00-D48";"RT";"TOTAL";"T";"NL34";"A";"2009";293,3;NA
"C00-D48";"RT";"TOTAL";"T";"NL34";"A";"2008";279,9;NA
"C00-D48";"RT";"TOTAL";"T";"NL34";"A";"2007";292,2;NA
"C00-D48";"RT";"TOTAL";"T";"NL34";"A";"2006";272,1;NA
"C00-D48";"RT";"TOTAL";"T";"NL34";"A";"2005";289,4;NA
"C00-D48";"RT";"TOTAL";"T";"NL34";"A";"2004";270,6;NA
"C00-D48";"RT";"TOTAL";"T";"NL34";"A";"2003";262,7;NA
"C00-D48";"RT";"TOTAL";"T";"NL34";"A";"2002";287,2;NA
"C00-D48";"RT";"TOTAL";"T";"NL34";"A";"2001";278,4;NA
"C00-D48";"RT";"TOTAL";"T";"NL34";"A";"2000";269,2;NA
"C00-D48";"RT";"TOTAL";"T";"NL34";"A";"1999";280,7;NA
"C00-D48";"RT";"TOTAL";"T";"NL34";"A";"1998";284,4;NA
"C00-D48";"RT";"TOTAL";"T";"NL34";"A";"1997";267,9;NA
"C00-D48";"RT";"TOTAL";"T";"NL34";"A";"1996";288,1;NA
"C00-D48";"RT";"TOTAL";"T";"NL34";"A";"1995";260;NA
"C00-D48";"RT";"TOTAL";"T";"NL34";"A";"1994";280,4;NA
"C00-D48";"RT";"TOTAL";"T";"UKC1";"A";"2010";292,1;NA
"C00-D48";"RT";"TOTAL";"T";"UKC1";"A";"2009";307,4;NA
"C00-D48";"RT";"TOTAL";"T";"UKC1";"A";"2008";307,2;NA
"C00-D48";"RT";"TOTAL";"T";"UKC1";"A";"2007";303,7;NA
"C00-D48";"RT";"TOTAL";"T";"UKC1";"A";"2006";307,3;NA
"C00-D48";"RT";"TOTAL";"T";"UKC1";"A";"2005";300,3;NA
"C00-D48";"RT";"TOTAL";"T";"UKC1";"A";"2004";305,8;NA
"C00-D48";"RT";"TOTAL";"T";"UKC1";"A";"2003";300,1;NA
"C00-D48";"RT";"TOTAL";"T";"UKC1";"A";"2002";297,8;NA
"C00-D48";"RT";"TOTAL";"T";"UKC1";"A";"2001";302,4;NA
"C00-D48";"RT";"TOTAL";"T";"UKC1";"A";"2000";283,7;NA
"C00-D48";"RT";"TOTAL";"T";"UKC1";"A";"1999";286,9;NA
"C00-D48";"RT";"TOTAL";"T";"UKC1";"A";"1998";295,7;NA
"C00-D48";"RT";"TOTAL";"T";"UKC1";"A";"1997";297,6;NA
"C00-D48";"RT";"TOTAL";"T";"UKC1";"A";"1996";300,9;NA
"C00-D48";"RT";"TOTAL";"T";"UKC1";"A";"1995";298,5;NA
"C00-D48";"RT";"TOTAL";"T";"UKC1";"A";"1994";298,2;NA
"C00-D48";"RT";"TOTAL";"T";"UKE2";"A";"2010";267,2;NA
"C00-D48";"RT";"TOTAL";"T";"UKE2";"A";"2009";272;NA
"C00-D48";"RT";"TOTAL";"T";"UKE2";"A";"2008";270,3;NA
"C00-D48";"RT";"TOTAL";"T";"UKE2";"A";"2007";289,4;NA
"C00-D48";"RT";"TOTAL";"T";"UKE2";"A";"2006";279,5;NA
"C00-D48";"RT";"TOTAL";"T";"UKE2";"A";"2005";270,2;NA
"C00-D48";"RT";"TOTAL";"T";"UKE2";"A";"2004";268,9;NA
"C00-D48";"RT";"TOTAL";"T";"UKE2";"A";"2003";282,8;NA
"C00-D48";"RT";"TOTAL";"T";"UKE2";"A";"2002";274,9;NA
"C00-D48";"RT";"TOTAL";"T";"UKE2";"A";"2001";272,6;NA
"C00-D48";"RT";"TOTAL";"T";"UKE2";"A";"2000";271;NA
"C00-D48";"RT";"TOTAL";"T";"UKE2";"A";"1999";271;NA
"C00-D48";"RT";"TOTAL";"T";"UKE2";"A";"1998";269,4;NA
"C00-D48";"RT";"TOTAL";"T";"UKE2";"A";"1997";271,6;NA
"C00-D48";"RT";"TOTAL";"T";"UKE2";"A";"1996";278,7;NA
"C00-D48";"RT";"TOTAL";"T";"UKE2";"A";"1995";275,1;NA
"C00-D48";"RT";"TOTAL";"T";"UKE2";"A";"1994";278,6;NA
