"UNIT";"INDIC_TO";"NACE_R2";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"P_THAB";"B006";"I551-I553";"EU28";"A";"2003";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU28";"A";"2002";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU28";"A";"2001";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU28";"A";"2000";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU28";"A";"1999";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU28";"A";"1998";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU28";"A";"1997";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU28";"A";"1996";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU28";"A";"1995";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU28";"A";"1994";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU28";"A";"1993";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU28";"A";"1992";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU28";"A";"1991";NA;"na";NA
"P_THAB";"B006";"I551-I553";"EU28";"A";"1990";NA;"na";NA
"P_THAB";"B006";"I551-I553";"IT";"A";"2015";NA;"na";NA
"P_THAB";"B006";"I551-I553";"IT";"A";"2014";6215,11;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"2013";6313;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"2012";6410;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"2011";6382;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"2010";6224;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"2009";6175;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"2008";6268;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"2007";6370;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"2006";6243;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"2005";6073;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"2004";5970;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"2003";6008;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"2002";6058;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"2001";6150;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"2000";5953;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"1999";5418;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"1998";5263;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"1997";5139;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"1996";5126;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"1995";5040;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"1994";4834;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"1993";4459;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"1992";4531;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"1991";4565;NA;NA
"P_THAB";"B006";"I551-I553";"IT";"A";"1990";4449;NA;NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"2015";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"2014";3438,5;NA;NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"2013";3467;NA;NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"2012";3440;NA;NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"2011";3340;NA;NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"2010";3168;NA;NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"2009";3023;NA;NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"2008";2935;NA;NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"2007";3001;NA;NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"2006";2852;NA;NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"2005";2821;NA;NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"2004";2863;NA;NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"2003";2851;NA;NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"2002";2835;NA;NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"2001";2729;NA;NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"2000";2546;NA;NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"1999";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"1998";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"1997";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"1996";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"1995";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"1994";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"1993";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"1992";2409;NA;NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"1991";2512;NA;NA
"P_THAB";"B006";"I551-I553";"ITC4";"A";"1990";2465;NA;NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"2015";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"2014";12755,04;NA;NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"2013";13048;NA;NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"2012";13409;NA;NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"2011";13324;NA;NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"2010";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"2009";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"2008";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"2007";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"2006";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"2005";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"2004";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"2003";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"2002";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"2001";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"2000";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"1999";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"1998";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"1997";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"1996";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"1995";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"1994";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"1993";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"1992";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"1991";NA;"na";NA
"P_THAB";"B006";"I551-I553";"ITH";"A";"1990";NA;"na";NA
