"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"Y65";"T";"ITH2";"A";"2004";19,8;NA;NA
"Y65";"T";"ITH2";"A";"2003";19,3;NA;NA
"Y65";"T";"ITH2";"A";"2002";20,1;NA;NA
"Y65";"T";"ITH2";"A";"2001";20;NA;NA
"Y65";"T";"ITH2";"A";"2000";19,4;NA;NA
"Y65";"T";"ITH2";"A";"1999";19,5;NA;NA
"Y65";"T";"ITH2";"A";"1998";18,8;NA;NA
"Y65";"T";"ITH2";"A";"1997";19,1;NA;NA
"Y65";"T";"ITH2";"A";"1996";19;NA;NA
"Y65";"T";"ITH2";"A";"1995";18,6;NA;NA
"Y65";"T";"ITH2";"A";"1994";18,4;NA;NA
"Y65";"T";"ITH2";"A";"1993";18,5;NA;NA
"Y65";"T";"ITH2";"A";"1992";18,1;NA;NA
"Y65";"T";"ITH2";"A";"1991";17,6;NA;NA
"Y65";"T";"ITH2";"A";"1990";17,8;NA;NA
"Y65";"T";"MT";"A";"2014";20,3;NA;NA
"Y65";"T";"MT";"A";"2013";20;NA;NA
"Y65";"T";"MT";"A";"2012";19,4;NA;NA
"Y65";"T";"MT";"A";"2011";19,4;NA;NA
"Y65";"T";"MT";"A";"2010";19,9;NA;NA
"Y65";"T";"MT";"A";"2009";18,9;NA;NA
"Y65";"T";"MT";"A";"2008";18,7;NA;NA
"Y65";"T";"MT";"A";"2007";18,6;NA;NA
"Y65";"T";"MT";"A";"2006";18;NA;NA
"Y65";"T";"MT";"A";"2005";18;NA;NA
"Y65";"T";"MT";"A";"2004";17,8;NA;NA
"Y65";"T";"MT";"A";"2003";17,2;NA;NA
"Y65";"T";"MT";"A";"2002";17,3;NA;NA
"Y65";"T";"MT";"A";"2001";17,3;NA;NA
"Y65";"T";"MT";"A";"2000";16,9;NA;NA
"Y65";"T";"MT";"A";"1999";16,5;NA;NA
"Y65";"T";"MT";"A";"1998";16,4;NA;NA
"Y65";"T";"MT";"A";"1997";16,6;NA;NA
"Y65";"T";"MT";"A";"1996";16,7;NA;NA
"Y65";"T";"MT";"A";"1995";16,6;NA;NA
"Y65";"T";"MT";"A";"1994";NA;"na";NA
"Y65";"T";"MT";"A";"1993";NA;"na";NA
"Y65";"T";"MT";"A";"1992";NA;"na";NA
