"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"Y_LT1";"T";"ITH";"A";"2004";81,4;NA
"Y_LT1";"T";"ITH";"A";"2003";80,7;NA
"Y_LT1";"T";"ITH";"A";"2002";80,9;NA
"Y_LT1";"T";"ITH";"A";"2001";80,9;NA
"Y_LT1";"T";"ITH";"A";"2000";NA;"na"
"Y_LT1";"T";"ITH";"A";"1999";NA;"na"
"Y_LT1";"T";"ITH";"A";"1998";NA;"na"
"Y_LT1";"T";"ITH";"A";"1997";NA;"na"
"Y_LT1";"T";"ITH";"A";"1996";NA;"na"
"Y_LT1";"T";"ITH";"A";"1995";NA;"na"
"Y_LT1";"T";"ITH";"A";"1994";NA;"na"
"Y_LT1";"T";"ITH";"A";"1993";NA;"na"
"Y_LT1";"T";"ITH";"A";"1992";NA;"na"
"Y_LT1";"T";"ITH";"A";"1991";NA;"na"
"Y_LT1";"T";"ITH";"A";"1990";NA;"na"
"Y_LT1";"T";"ITH1";"A";"2014";84;NA
"Y_LT1";"T";"ITH1";"A";"2013";83,9;NA
"Y_LT1";"T";"ITH1";"A";"2012";83,3;NA
"Y_LT1";"T";"ITH1";"A";"2011";83,7;NA
"Y_LT1";"T";"ITH1";"A";"2010";83,4;NA
"Y_LT1";"T";"ITH1";"A";"2009";83,2;NA
"Y_LT1";"T";"ITH1";"A";"2008";82,7;NA
"Y_LT1";"T";"ITH1";"A";"2007";82,7;NA
"Y_LT1";"T";"ITH1";"A";"2006";82,1;NA
"Y_LT1";"T";"ITH1";"A";"2005";81,6;NA
"Y_LT1";"T";"ITH1";"A";"2004";81,3;NA
"Y_LT1";"T";"ITH1";"A";"2003";80,6;NA
"Y_LT1";"T";"ITH1";"A";"2002";81,2;NA
"Y_LT1";"T";"ITH1";"A";"2001";81;NA
"Y_LT1";"T";"ITH1";"A";"2000";80,7;NA
"Y_LT1";"T";"ITH1";"A";"1999";80;NA
"Y_LT1";"T";"ITH1";"A";"1998";79,8;NA
"Y_LT1";"T";"ITH1";"A";"1997";80,1;NA
"Y_LT1";"T";"ITH1";"A";"1996";79,1;NA
"Y_LT1";"T";"ITH1";"A";"1995";79,3;NA
"Y_LT1";"T";"ITH1";"A";"1994";78,8;NA
"Y_LT1";"T";"ITH1";"A";"1993";78,3;NA
"Y_LT1";"T";"ITH1";"A";"1992";78,2;NA
"Y_LT1";"T";"ITH1";"A";"1991";77,8;NA
"Y_LT1";"T";"ITH1";"A";"1990";77,4;NA
"Y_LT1";"T";"ITH2";"A";"2014";84,4;NA
"Y_LT1";"T";"ITH2";"A";"2013";83,9;NA
"Y_LT1";"T";"ITH2";"A";"2012";83,9;NA
"Y_LT1";"T";"ITH2";"A";"2011";83,9;NA
"Y_LT1";"T";"ITH2";"A";"2010";83,2;NA
"Y_LT1";"T";"ITH2";"A";"2009";83,1;NA
"Y_LT1";"T";"ITH2";"A";"2008";82,7;NA
