"WSTATUS";"TYPTRAI";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU28";"A";"2011";12,9;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU28";"A";"2010";12,8;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU28";"A";"2009";12,4;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU28";"A";"2008";10,9;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU28";"A";"2007";11;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU28";"A";"2006";11,7;"b";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU28";"A";"2005";12,7;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU28";"A";"2004";12,9;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU28";"A";"2003";13,1;"b";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU28";"A";"2002";13;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU28";"A";"2001";NA;NA;"na"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"EU28";"A";"2000";NA;NA;"na"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"IT";"A";"2015";21,4;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"IT";"A";"2014";22,1;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"IT";"A";"2013";22,2;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"IT";"A";"2012";21;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"IT";"A";"2011";19,7;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"IT";"A";"2010";19;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"IT";"A";"2009";17,6;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"IT";"A";"2008";16,6;NA;NA
