"INDIC_SB";"NACE_R2";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"V11210";"D";"NL13";"A";"2012";21;NA;NA
"V11210";"D";"NL13";"A";"2011";21;NA;NA
"V11210";"D";"NL13";"A";"2010";19;NA;NA
"V11210";"D";"NL13";"A";"2009";67;NA;NA
"V11210";"D";"NL13";"A";"2008";16;NA;NA
"V11210";"D";"NL34";"A";"2013";35;NA;NA
"V11210";"D";"NL34";"A";"2012";36;NA;NA
"V11210";"D";"NL34";"A";"2011";32;NA;NA
"V11210";"D";"NL34";"A";"2010";23;NA;NA
"V11210";"D";"NL34";"A";"2009";23;NA;NA
"V11210";"D";"NL34";"A";"2008";17;NA;NA
"V11210";"D";"UKC1";"A";"2013";78;NA;NA
"V11210";"D";"UKC1";"A";"2012";65;NA;NA
"V11210";"D";"UKC1";"A";"2011";63;NA;NA
"V11210";"D";"UKC1";"A";"2010";51;NA;NA
"V11210";"D";"UKC1";"A";"2009";46;NA;NA
"V11210";"D";"UKC1";"A";"2008";36;NA;NA
"V11210";"D";"UKE2";"A";"2013";58;NA;NA
"V11210";"D";"UKE2";"A";"2012";47;NA;NA
"V11210";"D";"UKE2";"A";"2011";37;NA;NA
"V11210";"D";"UKE2";"A";"2010";23;NA;NA
"V11210";"D";"UKE2";"A";"2009";21;NA;NA
"V11210";"D";"UKE2";"A";"2008";19;NA;NA
"V11210";"E";"AT32";"A";"2013";251;NA;NA
"V11210";"E";"AT32";"A";"2012";231;NA;NA
"V11210";"E";"AT32";"A";"2011";222;NA;NA
"V11210";"E";"AT32";"A";"2010";222;NA;NA
"V11210";"E";"AT32";"A";"2009";218;NA;NA
"V11210";"E";"AT32";"A";"2008";221;NA;NA
"V11210";"E";"AT33";"A";"2013";232;NA;NA
"V11210";"E";"AT33";"A";"2012";222;NA;NA
"V11210";"E";"AT33";"A";"2011";221;NA;NA
"V11210";"E";"AT33";"A";"2010";229;NA;NA
"V11210";"E";"AT33";"A";"2009";206;NA;NA
"V11210";"E";"AT33";"A";"2008";198;NA;NA
"V11210";"E";"BE22";"A";"2013";117;NA;NA
"V11210";"E";"BE22";"A";"2012";NA;"na";"c"
"V11210";"E";"BE22";"A";"2011";NA;"na";"c"
"V11210";"E";"BE22";"A";"2010";144;NA;NA
"V11210";"E";"BE22";"A";"2009";121;NA;NA
"V11210";"E";"BE22";"A";"2008";NA;"na";"c"
"V11210";"E";"ES13";"A";"2013";83;NA;NA
"V11210";"E";"ES13";"A";"2012";111;NA;NA
"V11210";"E";"ES13";"A";"2011";111;NA;NA
"V11210";"E";"ES13";"A";"2010";92;NA;NA
"V11210";"E";"ES13";"A";"2009";92;NA;NA
"V11210";"E";"ES13";"A";"2008";91;NA;NA
"V11210";"E";"ITH1";"A";"2013";75;NA;NA
"V11210";"E";"ITH1";"A";"2012";80;NA;NA
"V11210";"E";"ITH1";"A";"2011";119;NA;NA
"V11210";"E";"ITH1";"A";"2010";NA;"na";NA
"V11210";"E";"ITH1";"A";"2009";NA;"na";NA
"V11210";"E";"ITH1";"A";"2008";NA;"na";NA
"V11210";"E";"ITH2";"A";"2013";103;NA;NA
"V11210";"E";"ITH2";"A";"2012";103;NA;NA
"V11210";"E";"ITH2";"A";"2011";187;NA;NA
"V11210";"E";"ITH2";"A";"2010";NA;"na";NA
"V11210";"E";"ITH2";"A";"2009";NA;"na";NA
"V11210";"E";"ITH2";"A";"2008";NA;"na";NA
"V11210";"E";"MT";"A";"2013";153;NA;NA
"V11210";"E";"MT";"A";"2012";164;NA;NA
"V11210";"E";"MT";"A";"2011";160;NA;NA
"V11210";"E";"MT";"A";"2010";161;NA;NA
"V11210";"E";"MT";"A";"2009";164;NA;NA
"V11210";"E";"MT";"A";"2008";151;NA;NA
"V11210";"E";"NL12";"A";"2013";125;NA;NA
"V11210";"E";"NL12";"A";"2012";107;NA;NA
"V11210";"E";"NL12";"A";"2011";108;NA;NA
"V11210";"E";"NL12";"A";"2010";74;NA;NA
"V11210";"E";"NL12";"A";"2009";72;NA;NA
"V11210";"E";"NL12";"A";"2008";65;NA;NA
"V11210";"E";"NL13";"A";"2013";70;NA;NA
"V11210";"E";"NL13";"A";"2012";63;NA;NA
"V11210";"E";"NL13";"A";"2011";61;NA;NA
"V11210";"E";"NL13";"A";"2010";52;NA;NA
"V11210";"E";"NL13";"A";"2009";65;NA;NA
"V11210";"E";"NL13";"A";"2008";52;NA;NA
"V11210";"E";"NL34";"A";"2013";54;NA;NA
"V11210";"E";"NL34";"A";"2012";62;NA;NA
"V11210";"E";"NL34";"A";"2011";62;NA;NA
"V11210";"E";"NL34";"A";"2010";51;NA;NA
"V11210";"E";"NL34";"A";"2009";57;NA;NA
"V11210";"E";"NL34";"A";"2008";52;NA;NA
"V11210";"E";"UKC1";"A";"2013";175;NA;NA
"V11210";"E";"UKC1";"A";"2012";165;NA;NA
"V11210";"E";"UKC1";"A";"2011";161;NA;NA
"V11210";"E";"UKC1";"A";"2010";151;NA;NA
"V11210";"E";"UKC1";"A";"2009";151;NA;NA
"V11210";"E";"UKC1";"A";"2008";148;NA;NA
"V11210";"E";"UKE2";"A";"2013";146;NA;NA
"V11210";"E";"UKE2";"A";"2012";163;NA;NA
"V11210";"E";"UKE2";"A";"2011";152;NA;NA
"V11210";"E";"UKE2";"A";"2010";168;NA;NA
"V11210";"E";"UKE2";"A";"2009";163;NA;NA
"V11210";"E";"UKE2";"A";"2008";158;NA;NA
"V11210";"F";"AT32";"A";"2013";2989;NA;NA
"V11210";"F";"AT32";"A";"2012";2836;NA;NA
"V11210";"F";"AT32";"A";"2011";2755;NA;NA
"V11210";"F";"AT32";"A";"2010";2709;NA;NA
"V11210";"F";"AT32";"A";"2009";2577;NA;NA
"V11210";"F";"AT32";"A";"2008";2578;NA;NA
"V11210";"F";"AT33";"A";"2013";4060;NA;NA
"V11210";"F";"AT33";"A";"2012";3859;NA;NA
"V11210";"F";"AT33";"A";"2011";3694;NA;NA
"V11210";"F";"AT33";"A";"2010";3633;NA;NA
"V11210";"F";"AT33";"A";"2009";3497;NA;NA
"V11210";"F";"AT33";"A";"2008";3502;NA;NA
"V11210";"F";"BE22";"A";"2013";8510;NA;NA
"V11210";"F";"BE22";"A";"2012";8502;NA;NA
"V11210";"F";"BE22";"A";"2011";8609;NA;NA
"V11210";"F";"BE22";"A";"2010";8421;NA;NA
"V11210";"F";"BE22";"A";"2009";7306;NA;NA
"V11210";"F";"BE22";"A";"2008";6725;NA;NA
"V11210";"F";"ES13";"A";"2013";5161;NA;NA
"V11210";"F";"ES13";"A";"2012";5355;NA;NA
"V11210";"F";"ES13";"A";"2011";5834;NA;NA
"V11210";"F";"ES13";"A";"2010";6492;NA;NA
"V11210";"F";"ES13";"A";"2009";6385;NA;"p"
"V11210";"F";"ES13";"A";"2008";23462;NA;NA
"V11210";"F";"ITH1";"A";"2013";5570;NA;NA
"V11210";"F";"ITH1";"A";"2012";5593;NA;NA
"V11210";"F";"ITH1";"A";"2011";7086;NA;NA
"V11210";"F";"ITH1";"A";"2010";NA;"na";NA
"V11210";"F";"ITH1";"A";"2009";NA;"na";NA
"V11210";"F";"ITH1";"A";"2008";NA;"na";NA
"V11210";"F";"ITH2";"A";"2013";6309;NA;NA
"V11210";"F";"ITH2";"A";"2012";6534;NA;NA
"V11210";"F";"ITH2";"A";"2011";7044;NA;NA
